,original_title,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date
1,The Overnight,"Comedy,Mystery",6.1,14828,Comedy,Mystery,,Patrick Brice,"director,writer,actor",21,The Overnight,200000.0,1109808.0,1165996.0,965996,582.998,2015-06-19
2,Jurassic World,"Action,Adventure,Sci-Fi",7.0,539338,Action,Adventure,Sci-Fi,Colin Trevorrow,"writer,producer,director",34,Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864,766.9092390697674,2015-06-12
3,Spy,"Action,Crime,Drama",6.6,78,Action,Crime,Drama,Alexander Klymko,"producer,camera_department,sound_department",83,Spy,65000000.0,110825712.0,232585748.0,167585748,357.82422769230766,2011-08-09
5,Spy,"Action,Comedy,Crime",7.0,213908,Action,Comedy,Crime,Paul Feig,"actor,producer,director",83,Spy,65000000.0,110825712.0,232585748.0,167585748,357.82422769230766,2011-08-09
7,The Rum Diary,"Comedy,Drama",6.2,94787,Comedy,Drama,,Bruce Robinson,"actor,writer,director",16,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268,47.87718222222222,2011-10-27
8,The Three Stooges,"Comedy,Family",5.1,28570,Comedy,Family,,Peter Farrelly,"producer,writer,director",4,The Three Stooges,30000000.0,44338224.0,54052249.0,24052249,180.17416333333333,2012-04-13
9,Tangled,"Adventure,Animation,Comedy",7.8,366366,Adventure,Animation,Comedy,Byron Howard,"animation_department,director,actor",15,Tangled,260000000.0,200821936.0,586477240.0,326477240,225.5681692307692,2010-11-24
10,John Carter,"Action,Adventure,Sci-Fi",6.6,241792,Action,Adventure,Sci-Fi,Andrew Stanton,"writer,actor,producer",14,John Carter,275000000.0,73058679.0,282778100.0,7778100,102.8284,2012-03-09
11,The Possession,"Horror,Mystery,Thriller",5.9,53649,Horror,Mystery,Thriller,Ole Bornedal,"writer,director,producer",81,The Possession,14000000.0,49130588.0,82925064.0,68925064,592.3218857142857,2012-08-31
12,Real Steel,"Action,Drama,Family",7.1,283534,Action,Drama,Family,Shawn Levy,"producer,director,actor",31,Real Steel,110000000.0,85463309.0,263880341.0,153880341,239.8912190909091,2011-10-06
13,The Giver,"Drama,Romance,Sci-Fi",6.5,104999,Drama,Romance,Sci-Fi,Phillip Noyce,"producer,director,writer",2,The Giver,25000000.0,45090374.0,66540205.0,41540205,266.16082,2014-08-11
14,Toy Story 3,"Adventure,Animation,Comedy",8.3,682218,Adventure,Animation,Comedy,Lee Unkrich,"editorial_department,editor,miscellaneous",47,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522,534.439761,2010-06-17
15,Lincoln,"Biography,Drama,History",7.4,228701,Biography,Drama,History,Steven Spielberg,"producer,writer,director",73,Lincoln,65000000.0,182207973.0,273346281.0,208346281,420.53274,2012-11-16
16,Before We Go,"Comedy,Drama,Romance",6.8,45181,Comedy,Drama,Romance,Chris Evans,"actor,producer,director",52,Before We Go,3000000.0,37151.0,483938.0,-2516062,16.131266666666665,2015-05-21
17,Before We Go,"Documentary,Drama,News",7.0,22,Documentary,Drama,News,Jorge Léon,"cinematographer,director,writer",52,Before We Go,3000000.0,37151.0,483938.0,-2516062,16.131266666666665,2015-05-21
18,Wonder Woman,"Action,Adventure,Fantasy",7.5,487527,Action,Adventure,Fantasy,Patty Jenkins,"director,writer,producer",55,Wonder Woman,150000000.0,412563408.0,821133378.0,671133378,547.422252,2013-09-29
20,Wonder Woman,Sci-Fi,4.2,20,Sci-Fi,,,Michael Colburn,"director,cinematographer,visual_effects",55,Wonder Woman,150000000.0,412563408.0,821133378.0,671133378,547.422252,2013-09-29
22,Wonder Woman,"Documentary,Drama,Sport",6.9,13,Documentary,Drama,Sport,Renzo Aneröd,"director,writer,editor",55,Wonder Woman,150000000.0,412563408.0,821133378.0,671133378,547.422252,2013-09-29
24,42,"Biography,Drama,Sport",7.5,77703,Biography,Drama,Sport,Brian Helgeland,"writer,director,producer",22,42,31000000.0,95020213.0,97470701.0,66470701,314.42161612903226,2013-04-12
25,The Crazies,"Horror,Thriller",6.5,104465,Horror,Thriller,,Breck Eisner,"director,producer,actor",36,The Crazies,19000000.0,39123589.0,56445534.0,37445534,297.0817578947368,2010-02-26
26,The Equalizer,"Action,Crime,Thriller",7.2,302302,Action,Crime,Thriller,Antoine Fuqua,"director,producer,actor",96,The Equalizer,55000000.0,101530738.0,192903624.0,137903624,350.7338618181818,2014-09-26
27,Piranha 3D,"Comedy,Horror",5.4,81327,Comedy,Horror,,Alexandre Aja,"producer,director,writer",52,Piranha 3D,24000000.0,25003155.0,83660160.0,59660160,348.584,2010-08-20
28,Margaret,Drama,6.5,14708,Drama,,,Kenneth Lonergan,"writer,actor,director",27,Margaret,14000000.0,47185.0,623292.0,-13376708,4.4520857142857135,2011-09-30
29,Ex Machina,"Drama,Mystery,Sci-Fi",7.7,424542,Drama,Mystery,Sci-Fi,Alex Garland,"writer,producer,director",72,Ex Machina,13000000.0,25440971.0,38358392.0,25358392,295.06455384615384,2015-04-10
30,Tower Heist,"Action,Comedy,Crime",6.2,125102,Action,Comedy,Crime,Brett Ratner,"producer,director,actor",5,Tower Heist,85000000.0,78046570.0,150422946.0,65422946,176.9681717647059,2011-11-04
31,The Smurfs,"Adventure,Animation,Comedy",5.5,77577,Adventure,Animation,Comedy,Raja Gosnell,"editor,director,editorial_department",20,The Smurfs,110000000.0,142614158.0,563749323.0,453749323,512.4993845454545,2011-07-29
32,The Mechanic,"Action,Crime,Thriller",6.6,141254,Action,Crime,Thriller,Simon West,"producer,director,actor",42,The Mechanic,42500000.0,29121498.0,76347393.0,33847393,179.64092470588236,2011-01-28
33,Unstoppable,"Action,Thriller",6.8,173019,Action,Thriller,,Tony Scott,"producer,director,actor",19,Unstoppable,95000000.0,81562942.0,165720921.0,70720921,174.4430747368421,2010-11-12
35,Unstoppable,Documentary,4.3,551,Documentary,,,Darren Doane,"director,producer,writer",19,Unstoppable,95000000.0,81562942.0,165720921.0,70720921,174.4430747368421,2010-11-12
37,The Losers,"Action,Adventure,Crime",6.4,83876,Action,Adventure,Crime,Sylvain White,"director,writer,producer",44,The Losers,25000000.0,23591432.0,29863840.0,4863840,119.45536000000001,2010-04-23
38,The Losers,Drama,1.7,70,Drama,,,Yi-An Lou,"writer,director,actor",44,The Losers,25000000.0,23591432.0,29863840.0,4863840,119.45536000000001,2010-04-23
39,Hall Pass,"Comedy,Romance",5.9,113775,Comedy,Romance,,Peter Farrelly,"producer,writer,director",57,Hall Pass,68000000.0,45060734.0,87173475.0,19173475,128.1962867647059,2011-02-25
40,The Croods,"Action,Adventure,Animation",7.2,176699,Action,Adventure,Animation,Kirk Demicco,"writer,director,soundtrack",26,The Croods,135000000.0,187168425.0,573068425.0,438068425,424.4951296296296,2013-03-22
41,Barry Munday,"Comedy,Drama,Romance",5.9,3846,Comedy,Drama,Romance,Chris D'Arienzo,"writer,actor,director",61,Barry Munday,3000000.0,0.0,0.0,-3000000,0.0,2010-03-13
42,Red Tails,"Action,Adventure,Drama",5.9,31815,Action,Adventure,Drama,Anthony Hemingway,"director,producer,assistant_director",61,Red Tails,58000000.0,49876377.0,50365498.0,-7634502,86.83706551724137,2012-01-11
43,Silence,"Adventure,Drama,History",7.2,85242,Adventure,Drama,History,Martin Scorsese,"producer,director,actor",42,Silence,46500000.0,7100177.0,23726626.0,-22773374,51.02500215053764,2016-12-23
45,Silence,Drama,6.7,174,Drama,,,Pat Collins,"director,producer,writer",42,Silence,46500000.0,7100177.0,23726626.0,-22773374,51.02500215053764,2016-12-23
47,Silence,"Drama,Thriller",4.6,170,Drama,Thriller,,V.K. Prakash,"director,actor,writer",42,Silence,46500000.0,7100177.0,23726626.0,-22773374,51.02500215053764,2016-12-23
49,Something Borrowed,"Comedy,Drama,Romance",5.9,54314,Comedy,Drama,Romance,Luke Greenfield,"director,producer,writer",72,Something Borrowed,35000000.0,39046489.0,65084116.0,30084116,185.95461714285716,2011-05-05
50,Tulip Fever,"Drama,History,Romance",6.2,15037,Drama,History,Romance,Justin Chadwick,"director,actor,producer",8,Tulip Fever,25000000.0,2455635.0,6792768.0,-18207232,27.171072000000002,2017-08-25
51,Furry Vengeance,"Comedy,Family",3.8,14700,Comedy,Family,,Roger Kumble,"director,writer,producer",17,Furry Vengeance,35000000.0,17630465.0,39340177.0,4340177,112.4005057142857,2010-04-02
52,Rings,"Drama,Horror,Mystery",4.5,34151,Drama,Horror,Mystery,F. Javier Gutiérrez,"director,producer,writer",38,Rings,25000000.0,27793018.0,82917283.0,57917283,331.669132,2017-02-03
53,A Thousand Words,"Comedy,Drama",5.9,36387,Comedy,Drama,,Brian Robbins,"producer,actor,writer",1,A Thousand Words,40000000.0,18450127.0,20790486.0,-19209514,51.976215,2012-03-08
54,Samsara,"Documentary,Music",8.5,29725,Documentary,Music,,Ron Fricke,"cinematographer,camera_department,writer",18,Samsara,4000000.0,2672413.0,5966671.0,1966671,149.166775,2012-08-22
55,Drive,"Crime,Drama",7.8,521495,Crime,Drama,,Nicolas Winding Refn,"writer,director,producer",36,Drive,15000000.0,35060689.0,81357930.0,66357930,542.3861999999999,2011-09-16
56,Drive,Documentary,6.3,20,Documentary,,,Bronwyn Purvis,"director,writer,producer",36,Drive,15000000.0,35060689.0,81357930.0,66357930,542.3861999999999,2011-09-16
57,The Wolfman,"Drama,Fantasy,Horror",5.8,97873,Drama,Fantasy,Horror,Joe Johnston,"director,visual_effects,producer",91,The Wolfman,150000000.0,62189884.0,142634358.0,-7365642,95.089572,2010-02-12
58,The Boxtrolls,"Adventure,Animation,Comedy",6.8,50763,Adventure,Animation,Comedy,Anthony Stacchi,"director,animation_department,visual_effects",94,The Boxtrolls,60000000.0,50837305.0,111946251.0,51946251,186.577085,2014-09-26
59,The Man Who Knew Infinity,"Biography,Drama",7.2,43575,Biography,Drama,,Matt Brown,"writer,director,producer",67,The Man Who Knew Infinity,10000000.0,3877922.0,12382122.0,2382122,123.82122,2016-04-29
60,The Incredible Burt Wonderstone,"Adventure,Comedy,Fantasy",5.9,67549,Adventure,Comedy,Fantasy,Don Scardino,"director,producer,actor",7,The Incredible Burt Wonderstone,32000000.0,22537881.0,27392609.0,-4607391,85.601903125,2013-03-15
61,Dallas Buyers Club,"Biography,Drama",8.0,402462,Biography,Drama,,Jean-Marc Vallée,"producer,director,editor",73,Dallas Buyers Club,5000000.0,27298285.0,60611845.0,55611845,1212.2369,2013-11-22
63,Jack Reacher,"Action,Crime,Thriller",7.0,284547,Action,Crime,Thriller,Christopher Mcquarrie,"writer,producer,director",68,Jack Reacher,60000000.0,80070736.0,217370736.0,157370736,362.28456,2012-12-21
64,Thor,"Action,Adventure,Fantasy",7.0,683264,Action,Adventure,Fantasy,Kenneth Branagh,"actor,producer,director",70,Thor,150000000.0,181030624.0,449326618.0,299326618,299.5510786666667,2011-05-06
65,Warcraft,"Action,Adventure,Fantasy",6.9,225557,Action,Adventure,Fantasy,Duncan Jones,"director,writer,producer",46,Warcraft,160000000.0,47225655.0,425522281.0,265522281,265.951425625,2016-06-10
66,Tooth Fairy,"Comedy,Family,Fantasy",5.0,37939,Comedy,Family,Fantasy,Michael Lembeck,"director,actor,producer",23,Tooth Fairy,48000000.0,60022256.0,112610386.0,64610386,234.6049708333333,2010-01-22
67,Take Me Home Tonight,"Comedy,Drama,Romance",6.3,48393,Comedy,Drama,Romance,Michael Dowse,"director,writer,producer",48,Take Me Home Tonight,19000000.0,6928068.0,7576604.0,-11423396,39.87686315789474,2011-03-04
68,The Book Thief,"Drama,War",7.6,119023,Drama,War,,Brian Percival,"director,producer",41,The Book Thief,19000000.0,21488481.0,76086711.0,57086711,400.4563736842106,2013-11-08
69,Interstellar,"Adventure,Drama,Sci-Fi",8.6,1299334,Adventure,Drama,Sci-Fi,Christopher Nolan,"writer,producer,director",32,Interstellar,165000000.0,188017894.0,666379375.0,501379375,403.86628787878783,2014-11-05
70,World War Z,"Action,Adventure,Horror",7.0,553751,Action,Adventure,Horror,Marc Forster,"producer,director,writer",69,World War Z,190000000.0,202359711.0,531514650.0,341514650,279.7445526315789,2013-06-21
71,Flipped,"Comedy,Drama,Romance",7.7,74937,Comedy,Drama,Romance,Rob Reiner,"actor,writer,producer",22,Flipped,14000000.0,1755212.0,4289993.0,-9710007,30.642807142857144,2010-08-06
73,Flipped,"Drama,Thriller",6.0,440,Drama,Thriller,,Harris Demel,"producer,director,actor",22,Flipped,14000000.0,1755212.0,4289993.0,-9710007,30.642807142857144,2010-08-06
75,Priest,"Action,Adventure,Fantasy",5.7,108320,Action,Adventure,Fantasy,Scott Stewart,"producer,writer,visual_effects",29,Priest,60000000.0,29136626.0,84154026.0,24154026,140.25671,2011-05-13
76,Dracula Untold,"Action,Drama,Fantasy",6.3,164829,Action,Drama,Fantasy,Gary Shore,"director,producer,writer",21,Dracula Untold,70000000.0,55991880.0,220241723.0,150241723,314.6310328571428,2014-10-03
77,Godzilla,"Action,Adventure,Sci-Fi",6.4,350687,Action,Adventure,Sci-Fi,Gareth Edwards,"visual_effects,director,writer",41,Godzilla,160000000.0,200676069.0,529076069.0,369076069,330.672543125,2014-05-16
78,Hotel Transylvania,"Animation,Comedy,Family",7.1,204571,Animation,Comedy,Family,Genndy Tartakovsky,"producer,writer,director",96,Hotel Transylvania,85000000.0,148313048.0,378505812.0,293505812,445.3009552941176,2012-09-28
79,The Town,"Crime,Drama,Thriller",7.6,322524,Crime,Drama,Thriller,Ben Affleck,"producer,actor,writer",92,The Town,37000000.0,92186262.0,152566881.0,115566881,412.3429216216216,2010-09-17
80,The Kids Are All Right,"Comedy,Drama,Romance",7.0,120656,Comedy,Drama,Romance,Lisa Cholodenko,"director,producer,writer",87,The Kids Are All Right,4000000.0,20811365.0,36275469.0,32275469,906.8867250000001,2010-07-09
81,The Avengers,"Action,Adventure,Sci-Fi",8.1,1183655,Action,Adventure,Sci-Fi,Joss Whedon,"writer,producer,director",27,The Avengers,225000000.0,623279547.0,1517935897.0,1292935897,674.6381764444444,2012-05-04
82,Epic,"Adventure,Animation,Family",6.7,95318,Adventure,Animation,Family,Chris Wedge,"actor,producer,director",77,Epic,100000000.0,107518682.0,262794441.0,162794441,262.794441,2013-05-24
83,Risen,"Biography,Drama",5.3,182,Biography,Drama,,Neil Jones,"producer,director,writer",48,Risen,20000000.0,36880033.0,46255763.0,26255763,231.27881499999998,2016-02-18
84,Risen,"Action,Adventure,Drama",6.3,22813,Action,Adventure,Drama,Kevin Reynolds,"director,writer,assistant_director",48,Risen,20000000.0,36880033.0,46255763.0,26255763,231.27881499999998,2016-02-18
85,The Sweeney,"Action,Crime,Drama",6.1,18095,Action,Crime,Drama,Nick Love,"writer,producer,director",53,The Sweeney,4500000.0,26345.0,8000366.0,3500366,177.78591111111112,2013-03-01
86,Red State,"Action,Crime,Horror",6.2,59266,Action,Crime,Horror,Kevin Smith,"producer,writer,actor",22,Red State,4000000.0,1065429.0,1983596.0,-2016404,49.5899,2011-09-23
87,Please Give,"Comedy,Drama",6.6,10652,Comedy,Drama,,Nicole Holofcener,"director,writer,actress",15,Please Give,3000000.0,4033574.0,4570178.0,1570178,152.33926666666667,2010-01-22
88,Eat Pray Love,"Drama,Romance",5.8,77709,Drama,Romance,,Ryan Murphy,"writer,producer,music_department",67,Eat Pray Love,60000000.0,80574010.0,206598789.0,146598789,344.33131499999996,2010-08-12
89,Sanctum,"Adventure,Drama,Thriller",5.9,51318,Adventure,Drama,Thriller,Alister Grierson,"director,writer,editor",45,Sanctum,30000000.0,23209310.0,108957098.0,78957098,363.1903266666667,2011-02-04
90,Snitch,"Action,Drama,Thriller",6.5,78142,Action,Drama,Thriller,Ric Roman Waugh,"stunts,writer,director",26,Snitch,15000000.0,42930462.0,57907734.0,42907734,386.05156,2011-01-01
92,The Wedding Ringer,Comedy,6.7,66893,Comedy,,,Jeremy Garelick,"producer,writer,director",73,The Wedding Ringer,23000000.0,64460211.0,80171596.0,57171596,348.57215652173915,2015-01-16
93,The Switch,"Comedy,Drama,Romance",6.1,90661,Comedy,Drama,Romance,Will Speck,"director,producer,writer",39,The Switch,19000000.0,27758465.0,49858465.0,30858465,262.4129736842105,2010-08-20
94,Shrek Forever After,"Adventure,Animation,Comedy",6.3,167532,Adventure,Animation,Comedy,Mike Mitchell,"actor,director,writer",27,Shrek Forever After,165000000.0,238736787.0,756244673.0,591244673,458.3301048484849,2010-05-16
95,The Thing,"Horror,Mystery,Sci-Fi",6.2,111900,Horror,Mystery,Sci-Fi,Matthijs Van Heijningen Jr.,"director,producer,writer",77,The Thing,38000000.0,16999934.0,27573078.0,-10426922,72.56073157894737,2011-10-14
96,The Dead Undead,"Action,Horror,Sci-Fi",3.0,791,Action,Horror,Sci-Fi,Matthew R. Anderson,"stunts,actor,assistant_director",7,The Dead Undead,1100000.0,0.0,0.0,-1100000,0.0,2010-05-13
97,Rabbit Hole,Drama,7.0,45357,Drama,,,John Cameron Mitchell,"actor,director,writer",52,Rabbit Hole,5000000.0,2229058.0,6205034.0,1205034,124.10068000000001,2010-12-16
98,The Last Airbender,"Action,Adventure,Family",4.1,137734,Action,Adventure,Family,M. Night Shyamalan,"producer,writer,director",83,The Last Airbender,150000000.0,131772187.0,319713881.0,169713881,213.14258733333332,2010-07-01
99,Freaky Deaky,"Comedy,Crime,Thriller",6.1,6088,Comedy,Crime,Thriller,Charles Matthau,"actor,producer,director",94,Freaky Deaky,6000000.0,0.0,0.0,-6000000,0.0,2012-04-22
100,Salt,"Action,Mystery,Thriller",6.4,277204,Action,Mystery,Thriller,Phillip Noyce,"producer,director,writer",50,Salt,130000000.0,118311368.0,290650494.0,160650494,223.57730307692307,2010-07-23
102,Source Code,"Action,Drama,Sci-Fi",7.5,452036,Action,Drama,Sci-Fi,Duncan Jones,"director,writer,producer",96,Source Code,32000000.0,54712227.0,140428499.0,108428499,438.839059375,2011-04-01
103,Black Swan,"Drama,Thriller",8.0,648854,Drama,Thriller,,Darren Aronofsky,"producer,director,writer",46,Black Swan,13000000.0,106954678.0,331266710.0,318266710,2548.205461538462,2010-12-03
104,Green Zone,"Action,Drama,Thriller",6.8,122132,Action,Drama,Thriller,Paul Greengrass,"director,producer,writer",98,Green Zone,100000000.0,35497337.0,97523020.0,-2476980,97.52302,2010-03-11
105,The Killer Inside Me,"Crime,Drama,Horror",6.1,31727,Crime,Drama,Horror,Michael Winterbottom,"director,producer,writer",11,The Killer Inside Me,13000000.0,217277.0,3617277.0,-9382723,27.82520769230769,2010-04-27
106,Robin Hood,"Action,Adventure,Drama",6.6,239480,Action,Adventure,Drama,Ridley Scott,"producer,director,production_designer",39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763,2010-05-14
109,Robin Hood,"Action,Drama",6.3,78,Action,Drama,,Martin Schreier,"writer,director,editor",39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763,2010-05-14
112,Robin Hood,"Action,Adventure,Thriller",5.3,41588,Action,Adventure,Thriller,Otto Bathurst,"director,producer,assistant_director",39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763,2010-05-14
115,Reach Me,"Comedy,Crime,Drama",4.9,2304,Comedy,Crime,Drama,John Herzfeld,"writer,director,actor",90,Reach Me,5000000.0,0.0,0.0,-5000000,0.0,2014-03-14
116,Nine Dead,"Crime,Drama,Horror",5.5,11358,Crime,Drama,Horror,Chris Shadley,"camera_department,miscellaneous,director",82,Nine Dead,2000000.0,0.0,0.0,-2000000,0.0,2011-03-09
117,The Fighter,"Biography,Drama,Sport",7.8,316539,Biography,Drama,Sport,David O. Russell,"producer,director,writer",68,The Fighter,11000000.0,93617009.0,129262388.0,118262388,1175.112618181818,2010-12-17
118,The Conspirator,"Crime,Drama,History",6.9,26416,Crime,Drama,History,Robert Redford,"producer,actor,director",80,The Conspirator,25000000.0,11538204.0,15907411.0,-9092589,63.629644,2011-04-15
119,Hugo,"Adventure,Drama,Family",7.5,284869,Adventure,Drama,Family,Martin Scorsese,"producer,director,actor",89,Hugo,180000000.0,73864507.0,180047784.0,47784,100.02654666666666,2011-11-23
120,Hugo,Documentary,7.9,11,Documentary,,,Wojciech Klimala,"director,writer,assistant_director",89,Hugo,180000000.0,73864507.0,180047784.0,47784,100.02654666666666,2011-11-23
121,Little Fockers,"Comedy,Romance",5.5,99222,Comedy,Romance,,Paul Weitz,"producer,writer,director",70,Little Fockers,100000000.0,148438600.0,310650574.0,210650574,310.650574,2010-12-21
122,Justice League,"Action,Adventure,Fantasy",6.5,329135,Action,Adventure,Fantasy,Zack Snyder,"producer,director,writer",9,Justice League,300000000.0,229024295.0,655945209.0,355945209,218.648403,2017-11-17
124,Fair Game,"Biography,Drama,Thriller",6.8,43862,Biography,Drama,Thriller,Doug Liman,"producer,director,miscellaneous",90,Fair Game,50000000.0,11497497.0,26097497.0,-23902503,52.194993999999994,2010-05-20
125,Sucker Punch,"Action,Adventure,Fantasy",6.1,218371,Action,Adventure,Fantasy,Zack Snyder,"producer,director,writer",62,Sucker Punch,75000000.0,36392502.0,89758389.0,14758389,119.677852,2011-03-25
126,Lottery Ticket,Comedy,5.0,10042,Comedy,,,Erik White,"director,writer",90,Lottery Ticket,17000000.0,24719879.0,24719879.0,7719879,145.41105294117648,2010-08-20
127,Machete,"Action,Crime,Thriller",6.6,182320,Action,Crime,Thriller,Robert Rodriguez,"producer,writer,director",18,Machete,12500000.0,26593646.0,46370970.0,33870970,370.96776,2010-09-03
128,Dear John,"Drama,Romance,War",6.3,128657,Drama,Romance,War,Lasse Hallström,"director,writer,cinematographer",77,Dear John,25000000.0,80014842.0,142033509.0,117033509,568.134036,2010-02-04
129,Detention,"Horror,Thriller",3.0,889,Horror,Thriller,,James D.R. Hickox,"director,editorial_department,actor",45,Detention,10000000.0,0.0,0.0,-10000000,0.0,2010-01-16
131,Detention,"Comedy,Horror,Mystery",5.8,14221,Comedy,Horror,Mystery,Joseph Kahn,"director,cinematographer,editor",45,Detention,10000000.0,0.0,0.0,-10000000,0.0,2010-01-16
133,The Green Hornet,"Action,Comedy,Crime",5.8,148622,Action,Comedy,Crime,Michel Gondry,"director,producer,writer",29,The Green Hornet,110000000.0,98780042.0,229155503.0,119155503,208.32318454545455,2011-01-13
134,Hanna,"Action,Drama,Thriller",6.8,179178,Action,Drama,Thriller,Joe Wright,"director,producer,actor",14,Hanna,30000000.0,40259119.0,65343694.0,35343694,217.81231333333335,2011-04-08
135,Straw Dogs,"Action,Drama,Thriller",5.8,30924,Action,Drama,Thriller,Rod Lurie,"writer,director,producer",88,Straw Dogs,25000000.0,10324441.0,11253821.0,-13746179,45.015284,2011-09-16
136,Megamind,"Action,Animation,Comedy",7.3,207488,Action,Animation,Comedy,Tom Mcgrath,"writer,actor,animation_department",47,Megamind,130000000.0,148415853.0,321887208.0,191887208,247.6055446153846,2010-11-04
137,The Young Messiah,"Drama,Fantasy",5.6,2882,Drama,Fantasy,,Cyrus Nowrasteh,"writer,producer,miscellaneous",17,The Young Messiah,16800000.0,6469813.0,7313697.0,-9486303,43.53391071428571,2016-03-11
138,The Iron Lady,"Biography,Drama",6.4,96066,Biography,Drama,,Phyllida Lloyd,"director,miscellaneous,assistant_director",90,The Iron Lady,14000000.0,29959436.0,115592104.0,101592104,825.6578857142857,2011-12-30
139,Child 44,"Crime,Drama,History",6.5,59477,Crime,Drama,History,Daniel Espinosa,"director,producer,writer",2,Child 44,50000000.0,1224330.0,8004221.0,-41995779,16.008442000000002,2015-04-17
140,The Runaways,"Biography,Drama,Music",6.6,43792,Biography,Drama,Music,Floria Sigismondi,"director,writer,actress",57,The Runaways,9500000.0,3573673.0,5278632.0,-4221368,55.56454736842106,2010-03-19
141,Our Brand Is Crisis,"Comedy,Drama",6.1,19033,Comedy,Drama,,David Gordon Green,"producer,director,writer",78,Our Brand Is Crisis,28000000.0,7002261.0,8594558.0,-19405442,30.694850000000002,2015-10-30
143,Selma,"Biography,Drama,History",7.5,77633,Biography,Drama,History,Ava Duvernay,"miscellaneous,writer,producer",25,Selma,20000000.0,52076908.0,66776576.0,46776576,333.88288,2014-12-25
144,Centurion,"Action,Adventure,Drama",6.4,74085,Action,Adventure,Drama,Neil Marshall,"director,producer,editor",46,Centurion,15000000.0,123570.0,7885048.0,-7114952,52.56698666666667,2010-02-15
145,Argo,"Biography,Drama,Thriller",7.7,534683,Biography,Drama,Thriller,Ben Affleck,"producer,actor,writer",27,Argo,44500000.0,136025503.0,227140757.0,182640757,510.42866741573033,2012-10-12
146,Secretariat,"Biography,Drama,Family",7.2,24536,Biography,Drama,Family,Randall Wallace,"writer,producer,director",53,Secretariat,35000000.0,59699513.0,60376247.0,25376247,172.50356285714287,2010-10-08
147,Poltergeist,"Horror,Thriller",4.9,51538,Horror,Thriller,,Gil Kenan,"director,writer,soundtrack",62,Poltergeist,35000000.0,47425125.0,95713069.0,60713069,273.4659114285714,2015-05-22
148,The Descendants,"Comedy,Drama",7.3,223464,Comedy,Drama,,Alexander Payne,"producer,director,writer",5,The Descendants,20000000.0,82624961.0,175507800.0,155507800,877.539,2011-11-18
149,The Descendants,Drama,7.5,12,Drama,,,Yaser Talebi,"director,writer,editor",5,The Descendants,20000000.0,82624961.0,175507800.0,155507800,877.539,2011-11-18
150,The Eagle,"Action,Adventure,Drama",6.2,61475,Action,Adventure,Drama,Kevin Macdonald,"director,producer,writer",50,The Eagle,25000000.0,19490041.0,38993548.0,13993548,155.974192,2011-02-11
151,Suspiria,"Fantasy,Horror,Mystery",6.8,37360,Fantasy,Horror,Mystery,Luca Guadagnino,"director,producer,writer",81,Suspiria,20000000.0,2483472.0,7034615.0,-12965385,35.173075,2018-10-26
152,Legion,"Action,Fantasy,Horror",5.2,92709,Action,Fantasy,Horror,Scott Stewart,"producer,writer,visual_effects",37,Legion,26000000.0,40168080.0,67647574.0,41647574,260.1829769230769,2010-01-22
154,The Bounty Hunter,"Action,Comedy,Romance",5.6,112444,Action,Comedy,Romance,Andy Tennant,"producer,director,writer",73,The Bounty Hunter,45000000.0,67061228.0,135808837.0,90808837,301.7974155555556,2010-03-19
155,Silver Linings Playbook,"Comedy,Drama,Romance",7.7,621018,Comedy,Drama,Romance,David O. Russell,"producer,director,writer",59,Silver Linings Playbook,21000000.0,132092958.0,236412453.0,215412453,1125.7735857142857,2012-12-25
156,Parental Guidance,"Comedy,Family",6.1,23711,Comedy,Family,,Andy Fickman,"producer,director,actor",79,Parental Guidance,25000000.0,77267296.0,120832383.0,95832383,483.32953200000003,2012-12-25
157,Goosebumps,"Adventure,Comedy,Family",6.3,72858,Adventure,Comedy,Family,Rob Letterman,"director,writer,producer",58,Goosebumps,58000000.0,80069458.0,158905324.0,100905324,273.97469655172415,2015-10-16
159,Repo Men,"Action,Crime,Sci-Fi",6.3,96144,Action,Crime,Sci-Fi,Miguel Sapochnik,"director,producer,art_department",13,Repo Men,32000000.0,13942007.0,18195238.0,-13804762,56.86011875,2010-03-19
160,The Big Year,Comedy,6.2,39522,Comedy,,,David Frankel,"producer,director,writer",74,The Big Year,41000000.0,7204138.0,7684524.0,-33315476,18.74274146341463,2011-10-14
161,Life As We Know It,"Comedy,Drama,Romance",6.6,113077,Comedy,Drama,Romance,Greg Berlanti,"producer,writer,director",64,Life As We Know It,38000000.0,53374681.0,105887837.0,67887837,278.6522026315789,2010-10-02
162,Boyhood,Drama,7.9,315584,Drama,,,Richard Linklater,"producer,director,writer",85,Boyhood,4000000.0,25379975.0,57273049.0,53273049,1431.826225,2014-07-11
163,Monte Carlo,"Adventure,Comedy,Family",5.8,38731,Adventure,Comedy,Family,Thomas Bezucha,"writer,director",84,Monte Carlo,20000000.0,23186769.0,39686769.0,19686769,198.43384500000002,2011-07-01
