,original_title,runtime_minutes,genres,averagerating,numvotes,main_genre,subgenre_1,subgenre_2,primary_name,primary_profession,id,movie,production_budget,domestic_gross,worldwide_gross,profit,roi,release_date_x
0,Foodfight!,91.0,"Action,Animation,Comedy",1.9,8248,Action,Animation,Comedy,Lawrence Kasanoff,"producer,writer,director",26,Foodfight!,45000000.0,0.0,73706.0,-44926294,0.1637911111111111,2013-05-07
2,The Overnight,79.0,"Comedy,Mystery",6.1,14828,Comedy,Mystery,,Patrick Brice,"director,writer,actor",21,The Overnight,200000.0,1109808.0,1165996.0,965996,582.998,2015-06-19
3,On The Road,124.0,"Adventure,Drama,Romance",6.1,37886,Adventure,Drama,Romance,Walter Salles,"director,producer,writer",17,On The Road,25000000.0,720828.0,9313302.0,-15686698,37.253208,2012-12-21
6,The Secret Life Of Walter Mitty,114.0,"Adventure,Comedy,Drama",7.3,275300,Adventure,Comedy,Drama,Ben Stiller,"producer,actor,director",37,The Secret Life Of Walter Mitty,91000000.0,58236838.0,187861183.0,96861183,206.44086043956045,2013-12-25
7,A Walk Among The Tombstones,114.0,"Action,Crime,Drama",6.5,105116,Action,Crime,Drama,Scott Frank,"writer,producer,director",67,A Walk Among The Tombstones,28000000.0,26017685.0,62108587.0,34108587,221.81638214285715,2014-09-19
8,Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338,Action,Adventure,Sci-Fi,Colin Trevorrow,"writer,producer,director",34,Jurassic World,215000000.0,652270625.0,1648854864.0,1433854864,766.9092390697674,2015-06-12
9,The Rum Diary,119.0,"Comedy,Drama",6.2,94787,Comedy,Drama,,Bruce Robinson,"actor,writer,director",16,The Rum Diary,45000000.0,13109815.0,21544732.0,-23455268,47.87718222222222,2011-10-27
10,The Three Stooges,92.0,"Comedy,Family",5.1,28570,Comedy,Family,,Peter Farrelly,"producer,writer,director",4,The Three Stooges,30000000.0,44338224.0,54052249.0,24052249,180.17416333333333,2012-04-13
11,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,Adventure,Animation,Comedy,Byron Howard,"animation_department,director,actor",15,Tangled,260000000.0,200821936.0,586477240.0,326477240,225.5681692307692,2010-11-24
12,John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,Action,Adventure,Sci-Fi,Andrew Stanton,"writer,actor,producer",14,John Carter,275000000.0,73058679.0,282778100.0,7778100,102.8284,2012-03-09
13,Dinner For Schmucks,114.0,Comedy,5.9,91546,Comedy,,,Jay Roach,"producer,director,writer",51,Dinner For Schmucks,69000000.0,73026337.0,86796502.0,17796502,125.79203188405796,2010-07-30
14,The A-Team,117.0,"Action,Adventure,Thriller",6.8,235256,Action,Adventure,Thriller,Joe Carnahan,"producer,writer,director",32,The A-Team,110000000.0,77222099.0,177241171.0,67241171,161.12833727272726,2010-06-11
15,The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649,Horror,Mystery,Thriller,Ole Bornedal,"writer,director,producer",81,The Possession,14000000.0,49130588.0,82925064.0,68925064,592.3218857142857,2012-08-31
16,Real Steel,127.0,"Action,Drama,Family",7.1,283534,Action,Drama,Family,Shawn Levy,"producer,director,actor",31,Real Steel,110000000.0,85463309.0,263880341.0,153880341,239.8912190909091,2011-10-06
17,The Giver,97.0,"Drama,Romance,Sci-Fi",6.5,104999,Drama,Romance,Sci-Fi,Phillip Noyce,"producer,director,writer",2,The Giver,25000000.0,45090374.0,66540205.0,41540205,266.16082,2014-08-11
18,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,Adventure,Animation,Comedy,Lee Unkrich,"editorial_department,editor,miscellaneous",47,Toy Story 3,200000000.0,415004880.0,1068879522.0,868879522,534.439761,2010-06-17
19,Lincoln,150.0,"Biography,Drama,History",7.4,228701,Biography,Drama,History,Steven Spielberg,"producer,writer,director",73,Lincoln,65000000.0,182207973.0,273346281.0,208346281,420.53274,2012-11-16
20,Before We Go,95.0,"Comedy,Drama,Romance",6.8,45181,Comedy,Drama,Romance,Chris Evans,"actor,producer,director",52,Before We Go,3000000.0,37151.0,483938.0,-2516062,16.131266666666665,2015-05-21
22,Scott Pilgrim Vs. The World,112.0,"Action,Comedy,Fantasy",7.5,339338,Action,Comedy,Fantasy,Edgar Wright,"director,writer,actor",22,Scott Pilgrim Vs. The World,85000000.0,31611316.0,48056764.0,-36943236,56.5373694117647,2010-08-13
23,Puss In Boots,90.0,"Action,Adventure,Animation",6.6,133355,Action,Adventure,Animation,Chris Miller,"actor,animation_department,director",46,Puss In Boots,130000000.0,149260504.0,554987477.0,424987477,426.9134438461538,2011-10-28
24,Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527,Action,Adventure,Fantasy,Patty Jenkins,"director,writer,producer",55,Wonder Woman,150000000.0,412563408.0,821133378.0,671133378,547.422252,2013-09-29
30,42,128.0,"Biography,Drama,Sport",7.5,77703,Biography,Drama,Sport,Brian Helgeland,"writer,director,producer",22,42,31000000.0,95020213.0,97470701.0,66470701,314.42161612903226,2013-04-12
31,Life Of Pi,127.0,"Adventure,Drama,Fantasy",7.9,535836,Adventure,Drama,Fantasy,Ang Lee,"director,producer,writer",88,Life Of Pi,120000000.0,124987022.0,620912003.0,500912003,517.4266691666667,2012-11-21
32,The Crazies,101.0,"Horror,Thriller",6.5,104465,Horror,Thriller,,Breck Eisner,"director,producer,actor",36,The Crazies,19000000.0,39123589.0,56445534.0,37445534,297.0817578947368,2010-02-26
33,The Equalizer,132.0,"Action,Crime,Thriller",7.2,302302,Action,Crime,Thriller,Antoine Fuqua,"director,producer,actor",96,The Equalizer,55000000.0,101530738.0,192903624.0,137903624,350.7338618181818,2014-09-26
34,Captain America: The First Avenger,124.0,"Action,Adventure,Sci-Fi",6.9,668137,Action,Adventure,Sci-Fi,Joe Johnston,"director,visual_effects,producer",10,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,230569776,264.6926971428571,2011-07-22
35,Sin City: A Dame To Kill For,102.0,"Crime,Thriller",6.5,140666,Crime,Thriller,,Robert Rodriguez,"producer,writer,director",16,Sin City: A Dame To Kill For,65000000.0,13757804.0,40650842.0,-24349158,62.53975692307693,2014-08-22
36,Piranha 3D,88.0,"Comedy,Horror",5.4,81327,Comedy,Horror,,Alexandre Aja,"producer,director,writer",52,Piranha 3D,24000000.0,25003155.0,83660160.0,59660160,348.584,2010-08-20
37,Margaret,150.0,Drama,6.5,14708,Drama,,,Kenneth Lonergan,"writer,actor,director",27,Margaret,14000000.0,47185.0,623292.0,-13376708,4.4520857142857135,2011-09-30
38,Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,Drama,Mystery,Sci-Fi,Alex Garland,"writer,producer,director",72,Ex Machina,13000000.0,25440971.0,38358392.0,25358392,295.06455384615384,2015-04-10
39,Tower Heist,104.0,"Action,Comedy,Crime",6.2,125102,Action,Comedy,Crime,Brett Ratner,"producer,director,actor",5,Tower Heist,85000000.0,78046570.0,150422946.0,65422946,176.9681717647059,2011-11-04
40,The Smurfs,103.0,"Adventure,Animation,Comedy",5.5,77577,Adventure,Animation,Comedy,Raja Gosnell,"editor,director,editorial_department",20,The Smurfs,110000000.0,142614158.0,563749323.0,453749323,512.4993845454545,2011-07-29
41,The Mechanic,93.0,"Action,Crime,Thriller",6.6,141254,Action,Crime,Thriller,Simon West,"producer,director,actor",42,The Mechanic,42500000.0,29121498.0,76347393.0,33847393,179.64092470588236,2011-01-28
42,"Hail, Caesar!",106.0,"Comedy,Drama,Music",6.3,111422,Comedy,Drama,Music,Joel Coen,"producer,writer,director",22,"Hail, Caesar!",22000000.0,30080225.0,64160680.0,42160680,291.63945454545456,2016-02-05
43,Unstoppable,98.0,"Action,Thriller",6.8,173019,Action,Thriller,,Tony Scott,"producer,director,actor",19,Unstoppable,95000000.0,81562942.0,165720921.0,70720921,174.4430747368421,2010-11-12
45,The Tree Of Life,139.0,"Drama,Fantasy",6.8,156266,Drama,Fantasy,,Terrence Malick,"writer,producer,director",24,The Tree Of Life,35000000.0,13305665.0,61721826.0,26721826,176.3480742857143,2011-05-27
46,Ant-Man,117.0,"Action,Adventure,Comedy",7.3,501213,Action,Adventure,Comedy,Peyton Reed,"director,producer,actor",43,Ant-Man,130000000.0,180202163.0,518858449.0,388858449,399.1218838461538,2015-07-17
47,Season Of The Witch,95.0,"Action,Adventure,Fantasy",5.4,85777,Action,Adventure,Fantasy,Dominic Sena,"director,cinematographer,camera_department",89,Season Of The Witch,40000000.0,24827228.0,91126600.0,51126600,227.8165,2011-01-07
48,The Losers,97.0,"Action,Adventure,Crime",6.4,83876,Action,Adventure,Crime,Sylvain White,"director,writer,producer",44,The Losers,25000000.0,23591432.0,29863840.0,4863840,119.45536000000001,2010-04-23
50,Hall Pass,105.0,"Comedy,Romance",5.9,113775,Comedy,Romance,,Peter Farrelly,"producer,writer,director",57,Hall Pass,68000000.0,45060734.0,87173475.0,19173475,128.1962867647059,2011-02-25
51,The Croods,98.0,"Action,Adventure,Animation",7.2,176699,Action,Adventure,Animation,Kirk Demicco,"writer,director,soundtrack",26,The Croods,135000000.0,187168425.0,573068425.0,438068425,424.4951296296296,2013-03-22
52,Barry Munday,95.0,"Comedy,Drama,Romance",5.9,3846,Comedy,Drama,Romance,Chris D'Arienzo,"writer,actor,director",61,Barry Munday,3000000.0,0.0,0.0,-3000000,0.0,2010-03-13
53,Red Tails,125.0,"Action,Adventure,Drama",5.9,31815,Action,Adventure,Drama,Anthony Hemingway,"director,producer,assistant_director",61,Red Tails,58000000.0,49876377.0,50365498.0,-7634502,86.83706551724137,2012-01-11
54,Silence,161.0,"Adventure,Drama,History",7.2,85242,Adventure,Drama,History,Martin Scorsese,"producer,director,actor",42,Silence,46500000.0,7100177.0,23726626.0,-22773374,51.02500215053764,2016-12-23
57,Something Borrowed,112.0,"Comedy,Drama,Romance",5.9,54314,Comedy,Drama,Romance,Luke Greenfield,"director,producer,writer",72,Something Borrowed,35000000.0,39046489.0,65084116.0,30084116,185.95461714285716,2011-05-05
58,Tulip Fever,105.0,"Drama,History,Romance",6.2,15037,Drama,History,Romance,Justin Chadwick,"director,actor,producer",8,Tulip Fever,25000000.0,2455635.0,6792768.0,-18207232,27.171072000000002,2017-08-25
59,Furry Vengeance,92.0,"Comedy,Family",3.8,14700,Comedy,Family,,Roger Kumble,"director,writer,producer",17,Furry Vengeance,35000000.0,17630465.0,39340177.0,4340177,112.4005057142857,2010-04-02
60,Chips,100.0,"Action,Comedy,Crime",6.0,37029,Action,Comedy,Crime,Dax Shepard,"actor,director,soundtrack",53,Chips,25000000.0,18600152.0,23190292.0,-1809708,92.761168,2017-03-24
61,Ramona And Beezus,103.0,"Adventure,Comedy,Family",6.6,16086,Adventure,Comedy,Family,Elizabeth Allen Rosenbaum,"director,producer,miscellaneous",60,Ramona And Beezus,15000000.0,26167002.0,27469621.0,12469621,183.13080666666664,2010-07-23
62,Rings,102.0,"Drama,Horror,Mystery",4.5,34151,Drama,Horror,Mystery,F. Javier Gutiérrez,"director,producer,writer",38,Rings,25000000.0,27793018.0,82917283.0,57917283,331.669132,2017-02-03
63,A Thousand Words,91.0,"Comedy,Drama",5.9,36387,Comedy,Drama,,Brian Robbins,"producer,actor,writer",1,A Thousand Words,40000000.0,18450127.0,20790486.0,-19209514,51.976215,2012-03-08
64,Escape From Planet Earth,89.0,"Adventure,Animation,Comedy",5.9,23298,Adventure,Animation,Comedy,Cal Brunker,"animation_department,art_department,writer",28,Escape From Planet Earth,40000000.0,57012977.0,74156610.0,34156610,185.391525,2013-02-14
65,What'S Your Number?,106.0,"Comedy,Romance",6.1,67922,Comedy,Romance,,Mark Mylod,"director,producer,miscellaneous",24,What'S Your Number?,20000000.0,14011084.0,30163785.0,10163785,150.818925,2011-09-30
66,Samsara,102.0,"Documentary,Music",8.5,29725,Documentary,Music,,Ron Fricke,"cinematographer,camera_department,writer",18,Samsara,4000000.0,2672413.0,5966671.0,1966671,149.166775,2012-08-22
67,Man Of Steel,143.0,"Action,Adventure,Sci-Fi",7.1,647288,Action,Adventure,Sci-Fi,Zack Snyder,"producer,director,writer",29,Man Of Steel,225000000.0,291045518.0,667999518.0,442999518,296.88867466666665,2013-06-14
68,Drive,100.0,"Crime,Drama",7.8,521495,Crime,Drama,,Nicolas Winding Refn,"writer,director,producer",36,Drive,15000000.0,35060689.0,81357930.0,66357930,542.3861999999999,2011-09-16
70,The Wolfman,103.0,"Drama,Fantasy,Horror",5.8,97873,Drama,Fantasy,Horror,Joe Johnston,"director,visual_effects,producer",91,The Wolfman,150000000.0,62189884.0,142634358.0,-7365642,95.089572,2010-02-12
71,The Boxtrolls,96.0,"Adventure,Animation,Comedy",6.8,50763,Adventure,Animation,Comedy,Anthony Stacchi,"director,animation_department,visual_effects",94,The Boxtrolls,60000000.0,50837305.0,111946251.0,51946251,186.577085,2014-09-26
72,The Man Who Knew Infinity,108.0,"Biography,Drama",7.2,43575,Biography,Drama,,Matt Brown,"writer,director,producer",67,The Man Who Knew Infinity,10000000.0,3877922.0,12382122.0,2382122,123.82122,2016-04-29
73,The Incredible Burt Wonderstone,100.0,"Adventure,Comedy,Fantasy",5.9,67549,Adventure,Comedy,Fantasy,Don Scardino,"director,producer,actor",7,The Incredible Burt Wonderstone,32000000.0,22537881.0,27392609.0,-4607391,85.601903125,2013-03-15
74,Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462,Biography,Drama,,Jean-Marc Vallée,"producer,director,editor",73,Dallas Buyers Club,5000000.0,27298285.0,60611845.0,55611845,1212.2369,2013-11-22
75,Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547,Action,Crime,Thriller,Christopher Mcquarrie,"writer,producer,director",68,Jack Reacher,60000000.0,80070736.0,217370736.0,157370736,362.28456,2012-12-21
76,R.I.P.D.,96.0,"Action,Adventure,Comedy",5.6,109078,Action,Adventure,Comedy,Robert Schwentke,"director,writer,soundtrack",55,R.I.P.D.,130000000.0,33618855.0,79076678.0,-50923322,60.828213846153844,2013-07-19
77,Clash Of The Titans,106.0,"Action,Adventure,Fantasy",5.8,256176,Action,Adventure,Fantasy,Louis Leterrier,"director,producer,actor",72,Clash Of The Titans,125000000.0,163214888.0,493214888.0,368214888,394.57191040000004,2010-04-02
78,Thor,115.0,"Action,Adventure,Fantasy",7.0,683264,Action,Adventure,Fantasy,Kenneth Branagh,"actor,producer,director",70,Thor,150000000.0,181030624.0,449326618.0,299326618,299.5510786666667,2011-05-06
79,Warcraft,123.0,"Action,Adventure,Fantasy",6.9,225557,Action,Adventure,Fantasy,Duncan Jones,"director,writer,producer",46,Warcraft,160000000.0,47225655.0,425522281.0,265522281,265.951425625,2016-06-10
80,It'S Kind Of A Funny Story,101.0,"Comedy,Drama,Romance",7.1,125583,Comedy,Drama,Romance,Ryan Fleck,"director,writer,cinematographer",1,It'S Kind Of A Funny Story,8000000.0,6363628.0,6632950.0,-1367050,82.911875,2010-10-08
81,Tooth Fairy,101.0,"Comedy,Family,Fantasy",5.0,37939,Comedy,Family,Fantasy,Michael Lembeck,"director,actor,producer",23,Tooth Fairy,48000000.0,60022256.0,112610386.0,64610386,234.6049708333333,2010-01-22
82,Jack And Jill,91.0,Comedy,3.3,71361,Comedy,,,Dennis Dugan,"actor,director,producer",11,Jack And Jill,79000000.0,74158157.0,150519217.0,71519217,190.53065443037974,2011-11-11
83,Take Me Home Tonight,97.0,"Comedy,Drama,Romance",6.3,48393,Comedy,Drama,Romance,Michael Dowse,"director,writer,producer",48,Take Me Home Tonight,19000000.0,6928068.0,7576604.0,-11423396,39.87686315789474,2011-03-04
84,Percy Jackson & The Olympians: The Lightning Thief,118.0,"Adventure,Family,Fantasy",5.9,165108,Adventure,Family,Fantasy,Chris Columbus,"producer,writer,director",17,Percy Jackson & The Olympians: The Lightning Thief,95000000.0,88768303.0,223050874.0,128050874,234.79039368421053,2010-02-11
85,She'S Out Of My League,104.0,"Comedy,Romance",6.4,117245,Comedy,Romance,,Jim Field Smith,"director,writer,producer",62,She'S Out Of My League,20000000.0,32010860.0,48680977.0,28680977,243.40488499999998,2010-03-12
86,The Book Thief,131.0,"Drama,War",7.6,119023,Drama,War,,Brian Percival,"director,producer",41,The Book Thief,19000000.0,21488481.0,76086711.0,57086711,400.4563736842106,2013-11-08
87,Conan The Barbarian,113.0,"Action,Adventure,Fantasy",5.2,90834,Action,Adventure,Fantasy,Marcus Nispel,"director,producer,writer",76,Conan The Barbarian,90000000.0,21295021.0,63356133.0,-26643867,70.39570333333333,2011-08-19
88,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Adventure,Drama,Sci-Fi,Christopher Nolan,"writer,producer,director",32,Interstellar,165000000.0,188017894.0,666379375.0,501379375,403.86628787878783,2014-11-05
89,World War Z,116.0,"Action,Adventure,Horror",7.0,553751,Action,Adventure,Horror,Marc Forster,"producer,director,writer",69,World War Z,190000000.0,202359711.0,531514650.0,341514650,279.7445526315789,2013-06-21
90,Flipped,90.0,"Comedy,Drama,Romance",7.7,74937,Comedy,Drama,Romance,Rob Reiner,"actor,writer,producer",22,Flipped,14000000.0,1755212.0,4289993.0,-9710007,30.642807142857144,2010-08-06
92,Valentine'S Day,125.0,"Comedy,Romance",5.7,107171,Comedy,Romance,,Garry Marshall,"writer,producer,actor",70,Valentine'S Day,52000000.0,110485654.0,217569328.0,165569328,418.40255384615386,2010-02-11
93,Priest,87.0,"Action,Adventure,Fantasy",5.7,108320,Action,Adventure,Fantasy,Scott Stewart,"producer,writer,visual_effects",29,Priest,60000000.0,29136626.0,84154026.0,24154026,140.25671,2011-05-13
94,Dracula Untold,92.0,"Action,Drama,Fantasy",6.3,164829,Action,Drama,Fantasy,Gary Shore,"director,producer,writer",21,Dracula Untold,70000000.0,55991880.0,220241723.0,150241723,314.6310328571428,2014-10-03
95,Godzilla,123.0,"Action,Adventure,Sci-Fi",6.4,350687,Action,Adventure,Sci-Fi,Gareth Edwards,"visual_effects,director,writer",41,Godzilla,160000000.0,200676069.0,529076069.0,369076069,330.672543125,2014-05-16
96,Hotel Transylvania,91.0,"Animation,Comedy,Family",7.1,204571,Animation,Comedy,Family,Genndy Tartakovsky,"producer,writer,director",96,Hotel Transylvania,85000000.0,148313048.0,378505812.0,293505812,445.3009552941176,2012-09-28
97,The Town,125.0,"Crime,Drama,Thriller",7.6,322524,Crime,Drama,Thriller,Ben Affleck,"producer,actor,writer",92,The Town,37000000.0,92186262.0,152566881.0,115566881,412.3429216216216,2010-09-17
98,The Kids Are All Right,106.0,"Comedy,Drama,Romance",7.0,120656,Comedy,Drama,Romance,Lisa Cholodenko,"director,producer,writer",87,The Kids Are All Right,4000000.0,20811365.0,36275469.0,32275469,906.8867250000001,2010-07-09
99,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,Action,Adventure,Sci-Fi,Joss Whedon,"writer,producer,director",27,The Avengers,225000000.0,623279547.0,1517935897.0,1292935897,674.6381764444444,2012-05-04
100,Epic,102.0,"Adventure,Animation,Family",6.7,95318,Adventure,Animation,Family,Chris Wedge,"actor,producer,director",77,Epic,100000000.0,107518682.0,262794441.0,162794441,262.794441,2013-05-24
101,Risen,121.0,"Biography,Drama",5.3,182,Biography,Drama,,Neil Jones,"producer,director,writer",48,Risen,20000000.0,36880033.0,46255763.0,26255763,231.27881499999998,2016-02-18
103,The Sweeney,112.0,"Action,Crime,Drama",6.1,18095,Action,Crime,Drama,Nick Love,"writer,producer,director",53,The Sweeney,4500000.0,26345.0,8000366.0,3500366,177.78591111111112,2013-03-01
104,Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277,Adventure,Animation,Comedy,Rob Minkoff,"producer,director,animation_department",1,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,124806430,186.07340000000002,2014-03-07
105,My Soul To Take,107.0,"Horror,Mystery,Thriller",4.8,18381,Horror,Mystery,Thriller,Wes Craven,"writer,producer,director",68,My Soul To Take,25000000.0,14744435.0,16727470.0,-8272530,66.90988,2010-10-08
106,Red State,88.0,"Action,Crime,Horror",6.2,59266,Action,Crime,Horror,Kevin Smith,"producer,writer,actor",22,Red State,4000000.0,1065429.0,1983596.0,-2016404,49.5899,2011-09-23
107,Please Give,87.0,"Comedy,Drama",6.6,10652,Comedy,Drama,,Nicole Holofcener,"director,writer,actress",15,Please Give,3000000.0,4033574.0,4570178.0,1570178,152.33926666666667,2010-01-22
108,Eat Pray Love,133.0,"Drama,Romance",5.8,77709,Drama,Romance,,Ryan Murphy,"writer,producer,music_department",67,Eat Pray Love,60000000.0,80574010.0,206598789.0,146598789,344.33131499999996,2010-08-12
109,Sanctum,108.0,"Adventure,Drama,Thriller",5.9,51318,Adventure,Drama,Thriller,Alister Grierson,"director,writer,editor",45,Sanctum,30000000.0,23209310.0,108957098.0,78957098,363.1903266666667,2011-02-04
110,Snitch,112.0,"Action,Drama,Thriller",6.5,78142,Action,Drama,Thriller,Ric Roman Waugh,"stunts,writer,director",26,Snitch,15000000.0,42930462.0,57907734.0,42907734,386.05156,2013-02-22
111,The Wedding Ringer,101.0,Comedy,6.7,66893,Comedy,,,Jeremy Garelick,"producer,writer,director",73,The Wedding Ringer,23000000.0,64460211.0,80171596.0,57171596,348.57215652173915,2015-01-16
112,The Switch,101.0,"Comedy,Drama,Romance",6.1,90661,Comedy,Drama,Romance,Will Speck,"director,producer,writer",39,The Switch,19000000.0,27758465.0,49858465.0,30858465,262.4129736842105,2010-08-20
113,Letters To Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137,Adventure,Comedy,Drama,Gary Winick,"producer,director,editor",89,Letters To Juliet,30000000.0,53032453.0,82148538.0,52148538,273.82846,2010-05-14
114,How To Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299,Action,Adventure,Animation,Chris Sanders,"writer,actor,animation_department",30,How To Train Your Dragon,165000000.0,217581232.0,494870992.0,329870992,299.9218133333333,2010-03-26
115,Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532,Adventure,Animation,Comedy,Mike Mitchell,"actor,director,writer",27,Shrek Forever After,165000000.0,238736787.0,756244673.0,591244673,458.3301048484849,2010-05-16
116,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,Adventure,Family,Fantasy,Peter Jackson,"producer,director,writer",19,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,767003568,406.80142720000003,2012-12-14
117,The Thing,103.0,"Horror,Mystery,Sci-Fi",6.2,111900,Horror,Mystery,Sci-Fi,Matthijs Van Heijningen Jr.,"director,producer,writer",77,The Thing,38000000.0,16999934.0,27573078.0,-10426922,72.56073157894737,2011-10-14
118,The Legend Of Tarzan,110.0,"Action,Adventure,Drama",6.3,150154,Action,Adventure,Drama,David Yates,"director,producer,writer",88,The Legend Of Tarzan,180000000.0,126643061.0,348902025.0,168902025,193.83445833333332,2016-07-01
119,Rabbit Hole,91.0,Drama,7.0,45357,Drama,,,John Cameron Mitchell,"actor,director,writer",52,Rabbit Hole,5000000.0,2229058.0,6205034.0,1205034,124.10068000000001,2010-12-16
120,The Last Airbender,103.0,"Action,Adventure,Family",4.1,137734,Action,Adventure,Family,M. Night Shyamalan,"producer,writer,director",83,The Last Airbender,150000000.0,131772187.0,319713881.0,169713881,213.14258733333332,2010-07-01
121,Freaky Deaky,90.0,"Comedy,Crime,Thriller",6.1,6088,Comedy,Crime,Thriller,Charles Matthau,"actor,producer,director",94,Freaky Deaky,6000000.0,0.0,0.0,-6000000,0.0,2012-04-22
122,Salt,100.0,"Action,Mystery,Thriller",6.4,277204,Action,Mystery,Thriller,Phillip Noyce,"producer,director,writer",50,Salt,130000000.0,118311368.0,290650494.0,160650494,223.57730307692307,2010-07-23
123,Source Code,93.0,"Action,Drama,Sci-Fi",7.5,452036,Action,Drama,Sci-Fi,Duncan Jones,"director,writer,producer",96,Source Code,32000000.0,54712227.0,140428499.0,108428499,438.839059375,2011-04-01
124,Black Swan,108.0,"Drama,Thriller",8.0,648854,Drama,Thriller,,Darren Aronofsky,"producer,director,writer",46,Black Swan,13000000.0,106954678.0,331266710.0,318266710,2548.205461538462,2010-12-03
125,Green Zone,115.0,"Action,Drama,Thriller",6.8,122132,Action,Drama,Thriller,Paul Greengrass,"director,producer,writer",98,Green Zone,100000000.0,35497337.0,97523020.0,-2476980,97.52302,2010-03-11
126,The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632,Action,Adventure,Sci-Fi,Marc Webb,"producer,director,writer",31,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,537890267,344.4955759090909,2012-07-04
127,The Killer Inside Me,109.0,"Crime,Drama,Horror",6.1,31727,Crime,Drama,Horror,Michael Winterbottom,"director,producer,writer",11,The Killer Inside Me,13000000.0,217277.0,3617277.0,-9382723,27.82520769230769,2010-04-27
128,Robin Hood,140.0,"Action,Adventure,Drama",6.6,239480,Action,Adventure,Drama,Ridley Scott,"producer,director,production_designer",39,Robin Hood,210000000.0,105487148.0,322459006.0,112459006,153.55190761904763,2010-05-14
134,Reach Me,95.0,"Comedy,Crime,Drama",4.9,2304,Comedy,Crime,Drama,John Herzfeld,"writer,director,actor",90,Reach Me,5000000.0,0.0,0.0,-5000000,0.0,2014-03-14
135,Nine Dead,98.0,"Crime,Drama,Horror",5.5,11358,Crime,Drama,Horror,Chris Shadley,"camera_department,miscellaneous,director",82,Nine Dead,2000000.0,0.0,0.0,-2000000,0.0,2011-03-09
136,The Sorcerer'S Apprentice,109.0,"Action,Adventure,Family",6.1,143862,Action,Adventure,Family,Jon Turteltaub,"producer,director,writer",44,The Sorcerer'S Apprentice,160000000.0,63150991.0,217986320.0,57986320,136.24145000000001,2010-07-13
137,The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,Biography,Drama,Sport,David O. Russell,"producer,director,writer",68,The Fighter,11000000.0,93617009.0,129262388.0,118262388,1175.112618181818,2010-12-17
138,The Conspirator,122.0,"Crime,Drama,History",6.9,26416,Crime,Drama,History,Robert Redford,"producer,actor,director",80,The Conspirator,25000000.0,11538204.0,15907411.0,-9092589,63.629644,2011-04-15
139,Hugo,126.0,"Adventure,Drama,Family",7.5,284869,Adventure,Drama,Family,Martin Scorsese,"producer,director,actor",89,Hugo,180000000.0,73864507.0,180047784.0,47784,100.02654666666666,2011-11-23
141,Little Fockers,98.0,"Comedy,Romance",5.5,99222,Comedy,Romance,,Paul Weitz,"producer,writer,director",70,Little Fockers,100000000.0,148438600.0,310650574.0,210650574,310.650574,2010-12-21
142,Justice League,120.0,"Action,Adventure,Fantasy",6.5,329135,Action,Adventure,Fantasy,Zack Snyder,"producer,director,writer",9,Justice League,300000000.0,229024295.0,655945209.0,355945209,218.648403,2017-11-17
143,Fair Game,108.0,"Biography,Drama,Thriller",6.8,43862,Biography,Drama,Thriller,Doug Liman,"producer,director,miscellaneous",90,Fair Game,50000000.0,11497497.0,26097497.0,-23902503,52.194993999999994,2010-05-20
144,Sucker Punch,110.0,"Action,Adventure,Fantasy",6.1,218371,Action,Adventure,Fantasy,Zack Snyder,"producer,director,writer",62,Sucker Punch,75000000.0,36392502.0,89758389.0,14758389,119.677852,2011-03-25
145,Lottery Ticket,99.0,Comedy,5.0,10042,Comedy,,,Erik White,"director,writer",90,Lottery Ticket,17000000.0,24719879.0,24719879.0,7719879,145.41105294117648,2010-08-20
146,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,113.0,"Adventure,Family,Fantasy",6.3,129663,Adventure,Family,Fantasy,Michael Apted,"director,producer,miscellaneous",48,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,155000000.0,104386950.0,418186950.0,263186950,269.7980322580645,2010-12-10
